From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
BUB3_MOUSE	Q9WVA3	BUB3_MOUSE	Mitotic checkpoint protein BUB3 (WD repeat type I transmembrane protein A72.5)	Bub3	Mus musculus (Mouse)	326
C560_MOUSE	Q9CZB0	C560_MOUSE	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (QPs-1) (QPs1)	Sdhc	Mus musculus (Mouse)	169
CALL3_MOUSE	Q9D6P8	CALL3_MOUSE	Calmodulin-like protein 3	Calml3	Mus musculus (Mouse)	149
CBX3_MOUSE	P23198	CBX3_MOUSE	Chromobox protein homolog 3 (Heterochromatin protein 1 homolog gamma) (HP1 gamma) (M32) (Modifier 2 protein)	Cbx3	Mus musculus (Mouse)	183
CD166_MOUSE	Q61490	CD166_MOUSE	CD166 antigen (Activated leukocyte cell adhesion molecule) (BEN) (Protein DM-GRASP) (CD antigen CD166)	Alcam	Mus musculus (Mouse)	583
CDK1_MOUSE	P11440	CDK1_MOUSE	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Cdk1 Cdc2 Cdc2a Cdkn1	Mus musculus (Mouse)	297
CERS2_MOUSE	Q924Z4	CERS2_MOUSE	Ceramide synthase 2 (CerS2) (LAG1 longevity assurance homolog 2) (Sphingosine N-acyltransferase CERS2) (EC 2.3.1.24) (Translocating chain-associating membrane protein homolog 3) (TRAM homolog 3) (Tumor metastasis-suppressor gene 1 protein) (Very-long-chain ceramide synthase CERS2) (EC 2.3.1.297)	Cers2 Lass2 Trh3	Mus musculus (Mouse)	380
CHCH2_MOUSE	Q9D1L0	CHCH2_MOUSE	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	Chchd2	Mus musculus (Mouse)	153
CHERP_MOUSE	Q8CGZ0	CHERP_MOUSE	Calcium homeostasis endoplasmic reticulum protein (SR-related CTD-associated factor 6)	Cherp Scaf6	Mus musculus (Mouse)	936
CNN3_MOUSE	Q9DAW9	CNN3_MOUSE	Calponin-3 (Calponin, acidic isoform)	Cnn3	Mus musculus (Mouse)	330
CO5A1_MOUSE	O88207	CO5A1_MOUSE	Collagen alpha-1(V) chain	Col5a1	Mus musculus (Mouse)	1838
CO5A2_MOUSE	Q3U962	CO5A2_MOUSE	Collagen alpha-2(V) chain	Col5a2	Mus musculus (Mouse)	1497
CO6A1_MOUSE	Q04857	CO6A1_MOUSE	Collagen alpha-1(VI) chain	Col6a1	Mus musculus (Mouse)	1025
COX6C_MOUSE	Q9CPQ1	COX6C_MOUSE	Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)	Cox6c	Mus musculus (Mouse)	76
CP1B1_MOUSE	Q64429	CP1B1_MOUSE	Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Cytochrome P450CMEF) (Cytochrome P450EF) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)	Cyp1b1 Cyp1-b1	Mus musculus (Mouse)	543
CP51A_MOUSE	Q8K0C4	CP51A_MOUSE	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase)	Cyp51a1 Cyp51	Mus musculus (Mouse)	503
CPNS1_MOUSE	O88456	CPNS1_MOUSE	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	Capns1 Capn4	Mus musculus (Mouse)	268
CREG1_MOUSE	O88668	CREG1_MOUSE	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	Creg1 Creg	Mus musculus (Mouse)	220
CSN2_MOUSE	P61202	CSN2_MOUSE	COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15)	Cops2 Csn2 Trip15	Mus musculus (Mouse)	443
CSN3_MOUSE	O88543	CSN3_MOUSE	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3)	Cops3 Csn3	Mus musculus (Mouse)	423
CSTF2_MOUSE	Q8BIQ5	CSTF2_MOUSE	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)	Cstf2	Mus musculus (Mouse)	580
CTBP1_MOUSE	O88712	CTBP1_MOUSE	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	Ctbp1	Mus musculus (Mouse)	441
CTNB1_MOUSE	Q02248	CTNB1_MOUSE	Catenin beta-1 (Beta-catenin)	Ctnnb1 Catnb	Mus musculus (Mouse)	781
CYC_MOUSE	P62897	CYC_MOUSE	Cytochrome c, somatic	Cycs	Mus musculus (Mouse)	105
DAD1_MOUSE	P61804	DAD1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1)	Dad1	Mus musculus (Mouse)	113
DC1I2_MOUSE	O88487	DC1I2_MOUSE	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	Dync1i2 Dnci2 Dncic2	Mus musculus (Mouse)	612
DDX46_MOUSE	Q569Z5	DDX46_MOUSE	Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46)	Ddx46 Kiaa0801	Mus musculus (Mouse)	1032
DECR_MOUSE	Q9CQ62	DECR_MOUSE	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH])	Decr1	Mus musculus (Mouse)	335
DIC_MOUSE	Q9QZD8	DIC_MOUSE	Mitochondrial dicarboxylate carrier (DIC) (Solute carrier family 25 member 10)	Slc25a10 Dic	Mus musculus (Mouse)	287
DLG1_MOUSE	Q811D0	DLG1_MOUSE	Disks large homolog 1 (Embryo-dlg/synapse-associated protein 97) (E-dlg/SAP97) (Synapse-associated protein 97) (SAP-97) (SAP97)	Dlg1 Dlgh1	Mus musculus (Mouse)	905
DNJA1_MOUSE	P63037	DNJA1_MOUSE	DnaJ homolog subfamily A member 1 (DnaJ protein homolog 2) (Heat shock 40 kDa protein 4) (Heat shock protein J2) (HSJ-2)	Dnaja1 Dnaj2 Hsj2 Hspf4	Mus musculus (Mouse)	397
DNJC7_MOUSE	Q9QYI3	DNJC7_MOUSE	DnaJ homolog subfamily C member 7 (Cytoplasmic CAR retention protein) (CCRP) (MDj11) (Tetratricopeptide repeat protein 2) (TPR repeat protein 2)	Dnajc7 Ttc2	Mus musculus (Mouse)	494
DYL1_MOUSE	P63168	DYL1_MOUSE	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN) (mPIN)	Dynll1 Dlc1 Dncl1 Dnclc1	Mus musculus (Mouse)	89
EFGM_MOUSE	Q8K0D5	EFGM_MOUSE	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	Gfm1 Efg Efg1 Gfm	Mus musculus (Mouse)	751
EIF3K_MOUSE	Q9DBZ5	EIF3K_MOUSE	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (eIF-3 p25)	Eif3k Eif3s12	Mus musculus (Mouse)	218
EMC2_MOUSE	Q9CRD2	EMC2_MOUSE	ER membrane protein complex subunit 2 (Tetratricopeptide repeat protein 35) (TPR repeat protein 35)	Emc2 Kiaa0103 Ttc35	Mus musculus (Mouse)	297
ENOB_MOUSE	P21550	ENOB_MOUSE	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase)	Eno3 Eno-3	Mus musculus (Mouse)	434
ENV2_MOUSE	P11370	ENV2_MOUSE	Retrovirus-related Env polyprotein from Fv-4 locus	Fv4 Env	Mus musculus (Mouse)	679
EPDR1_MOUSE	Q99M71	EPDR1_MOUSE	Mammalian ependymin-related protein 1 (MERP-1)	Epdr1 Epdr2 Merp1 Merp2	Mus musculus (Mouse)	224
EPIPL_MOUSE	Q8R0W0	EPIPL_MOUSE	Epiplakin	Eppk1 EPPK	Mus musculus (Mouse)	6548
FIS1_MOUSE	Q9CQ92	FIS1_MOUSE	Mitochondrial fission 1 protein (FIS1 homolog) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	Fis1 Ttc11	Mus musculus (Mouse)	152
FKBP2_MOUSE	P45878	FKBP2_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase)	Fkbp2 Fkbp13	Mus musculus (Mouse)	140
FKBP3_MOUSE	Q62446	FKBP3_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP3 (PPIase FKBP3) (EC 5.2.1.8) (25 kDa FK506-binding protein) (25 kDa FKBP) (FKBP-25) (FK506-binding protein 3) (FKBP-3) (Immunophilin FKBP25) (Rapamycin-selective 25 kDa immunophilin) (Rotamase)	Fkbp3 Fkbp25	Mus musculus (Mouse)	224
FKBP8_MOUSE	O35465	FKBP8_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (mFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase)	Fkbp8 Fkbp38 Sam11	Mus musculus (Mouse)	402
FXR2_MOUSE	Q9WVR4	FXR2_MOUSE	RNA-binding protein FXR2 (FXR2P)	Fxr2 Fxr2h	Mus musculus (Mouse)	673
GNAI3_MOUSE	Q9DC51	GNAI3_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-3 (G(i) alpha-3)	Gnai3	Mus musculus (Mouse)	354
GOGA2_MOUSE	Q921M4	GOGA2_MOUSE	Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130)	Golga2	Mus musculus (Mouse)	999
GRB2_MOUSE	Q60631	GRB2_MOUSE	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (SH2/SH3 adapter GRB2)	Grb2	Mus musculus (Mouse)	217
GSHR_MOUSE	P47791	GSHR_MOUSE	Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)	Gsr Gr1	Mus musculus (Mouse)	500
GSTO1_MOUSE	O09131	GSTO1_MOUSE	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R) (p28)	Gsto1 Gstx Gtsttl	Mus musculus (Mouse)	240
GTR1_MOUSE	P17809	GTR1_MOUSE	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (GT1)	Slc2a1 Glut1	Mus musculus (Mouse)	492
H13_MOUSE	P43277	H13_MOUSE	Histone H1.3 (H1 VAR.4) (H1d)	H1-3 H1f3 Hist1h1d	Mus musculus (Mouse)	221
H14_MOUSE	P43274	H14_MOUSE	Histone H1.4 (H1 VAR.2) (H1e)	H1-4 H1f4 Hist1h1e	Mus musculus (Mouse)	219
H32_MOUSE	P84228	H32_MOUSE	Histone H3.2 (H3-clustered histone 13) (H3-clustered histone 14) (H3-clustered histone 15) (H3-clustered histone 2) (H3-clustered histone 3) (H3-clustered histone 4) (H3-clustered histone 6) (H3-clustered histone 7)	H3c2 H3-53 H3.2 H3b Hist1h3b; H3c3 H3-143 Hist1h3c; H3c4 H3-B Hist1h3d; H3c6 H3-F Hist1h3e; H3c7 H3.2-221 H3f Hist1h3f; H3c13 H3.2-616 Hist2h3b; H3c14 H3.2-615 Hist2h3c1 Hist2h3ca1; H3c15 H3.2-614 Hist2h3c2 Hist2h3ca2	Mus musculus (Mouse)	136
HA1B_MOUSE	P01901	HA1B_MOUSE	H-2 class I histocompatibility antigen, K-B alpha chain (H-2K(B))	H2-K1 H2-K	Mus musculus (Mouse)	369
HACD3_MOUSE	Q8K2C9	HACD3_MOUSE	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)	Hacd3 Ptplad1	Mus musculus (Mouse)	362
HCDH_MOUSE	Q61425	HCDH_MOUSE	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	Hadh Hadhsc Mschad Schad	Mus musculus (Mouse)	314
HEM2_MOUSE	P10518	HEM2_MOUSE	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	Alad Lv	Mus musculus (Mouse)	330
HEM6_MOUSE	P36552	HEM6_MOUSE	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	Cpox Cpo	Mus musculus (Mouse)	443
HGS_MOUSE	Q99LI8	HGS_MOUSE	Hepatocyte growth factor-regulated tyrosine kinase substrate	Hgs Hrs	Mus musculus (Mouse)	775
HINT1_MOUSE	P70349	HINT1_MOUSE	Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)	Hint1 Hint Pkci Pkci1 Prkcnh1	Mus musculus (Mouse)	126
HMGA1_MOUSE	P17095	HMGA1_MOUSE	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1)	Hmga1 Hmgi Hmgiy	Mus musculus (Mouse)	107
HNRH2_MOUSE	P70333	HNRH2_MOUSE	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	Hnrnph2 Hnrph2	Mus musculus (Mouse)	449
HNRLL_MOUSE	Q921F4	HNRLL_MOUSE	Heterogeneous nuclear ribonucleoprotein L-like	Hnrnpll Hnrpll	Mus musculus (Mouse)	591
HTRA1_MOUSE	Q9R118	HTRA1_MOUSE	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (Serine protease 11)	Htra1 Htra Prss11	Mus musculus (Mouse)	480
HXK2_MOUSE	O08528	HXK2_MOUSE	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II)	Hk2	Mus musculus (Mouse)	917
IDHG1_MOUSE	P70404	IDHG1_MOUSE	Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)	Idh3g	Mus musculus (Mouse)	393
IDI1_MOUSE	P58044	IDI1_MOUSE	Isopentenyl-diphosphate Delta-isomerase 1 (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase 1) (IPP isomerase 1) (IPPI1)	Idi1	Mus musculus (Mouse)	227
IF1AX_MOUSE	Q8BMJ3	IF1AX_MOUSE	Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (eIF1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)	Eif1ax Eif1ay	Mus musculus (Mouse)	144
IF2B2_MOUSE	Q5SF07	IF2B2_MOUSE	Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)	Igf2bp2 Imp2 Vickz2	Mus musculus (Mouse)	592
IF2P_MOUSE	Q05D44	IF2P_MOUSE	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Eif5b If2	Mus musculus (Mouse)	1216
IF4A2_MOUSE	P10630	IF4A2_MOUSE	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	Eif4a2 Ddx2b	Mus musculus (Mouse)	407
IF4E_MOUSE	P63073	IF4E_MOUSE	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (mRNA cap-binding protein) (eIF-4F 25 kDa subunit)	Eif4e	Mus musculus (Mouse)	217
IF6_MOUSE	O55135	IF6_MOUSE	Eukaryotic translation initiation factor 6 (eIF-6) (B4 integrin interactor) (CAB) (p27(BBP))	Eif6 Itgb4bp	Mus musculus (Mouse)	245
IMA3_MOUSE	O35343	IMA3_MOUSE	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	Kpna4 Qip1	Mus musculus (Mouse)	521
ITA5_MOUSE	P11688	ITA5_MOUSE	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	Itga5	Mus musculus (Mouse)	1053
ITAV_MOUSE	P43406	ITAV_MOUSE	Integrin alpha-V (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	Itgav	Mus musculus (Mouse)	1044
LAT1_MOUSE	Q9Z127	LAT1_MOUSE	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (L-type amino acid transporter 1) (LAT1) (Solute carrier family 7 member 5)	Slc7a5 Lat1	Mus musculus (Mouse)	512
LG3BP_MOUSE	Q07797	LG3BP_MOUSE	Galectin-3-binding protein (Cyp-C-associated protein) (CyCAP) (Lectin galactoside-binding soluble 3-binding protein) (Protein MAMA)	Lgals3bp Cycap Mama	Mus musculus (Mouse)	577
LIMS1_MOUSE	Q99JW4	LIMS1_MOUSE	LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1)	Lims1 Pinch1	Mus musculus (Mouse)	325
LKHA4_MOUSE	P24527	LKHA4_MOUSE	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4)	Lta4h	Mus musculus (Mouse)	611
LMNB2_MOUSE	P21619	LMNB2_MOUSE	Lamin-B2	Lmnb2	Mus musculus (Mouse)	596
LRP1B_MOUSE	Q9JI18	LRP1B_MOUSE	Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)	Lrp1b Lrpdit	Mus musculus (Mouse)	4599
LRRF1_MOUSE	Q3UZ39	LRRF1_MOUSE	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (FLI-LRR-associated protein 1) (Flap-1) (H186 FLAP)	Lrrfip1 Flap	Mus musculus (Mouse)	729
LSM8_MOUSE	Q6ZWM4	LSM8_MOUSE	U6 snRNA-associated Sm-like protein LSm8	Lsm8	Mus musculus (Mouse)	96
LTOR3_MOUSE	O88653	LTOR3_MOUSE	Ragulator complex protein LAMTOR3 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 3) (MEK-binding partner 1) (Mp1) (Mitogen-activated protein kinase kinase 1-interacting protein 1) (Mitogen-activated protein kinase scaffold protein 1)	Lamtor3 Map2k1ip1 Mapbp Mapksp1	Mus musculus (Mouse)	124
LXN_MOUSE	P70202	LXN_MOUSE	Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Tissue carboxypeptidase inhibitor) (TCI)	Lxn	Mus musculus (Mouse)	222
LYOX_MOUSE	P28301	LYOX_MOUSE	Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) (Ras excision protein) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]	Lox Rrg	Mus musculus (Mouse)	411
LYZ1_MOUSE	P17897	LYZ1_MOUSE	Lysozyme C-1 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Lysozyme C type P)	Lyz1 Lzp-s	Mus musculus (Mouse)	148
METK2_MOUSE	Q3THS6	METK2_MOUSE	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)	Mat2a	Mus musculus (Mouse)	395
MGN2_MOUSE	Q9CQL1	MGN2_MOUSE	Protein mago nashi homolog 2	Magohb Magoh-rs1 Magoh2	Mus musculus (Mouse)	146
MK03_MOUSE	Q63844	MK03_MOUSE	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (MNK1) (Microtubule-associated protein 2 kinase) (p44-ERK1)	Mapk3 Erk1 Prkm3	Mus musculus (Mouse)	380
MK67I_MOUSE	Q91VE6	MK67I_MOUSE	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar protein interacting with the FHA domain of pKI-67) (mNIFK)	Nifk Mki67ip	Mus musculus (Mouse)	317
MOT1_MOUSE	P53986	MOT1_MOUSE	Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1)	Slc16a1 Mct1	Mus musculus (Mouse)	493
MRC2_MOUSE	Q64449	MRC2_MOUSE	C-type mannose receptor 2 (Lectin lambda) (Macrophage mannose receptor 2) (CD antigen CD280)	Mrc2 Kiaa0709	Mus musculus (Mouse)	1479
MSH2_MOUSE	P43247	MSH2_MOUSE	DNA mismatch repair protein Msh2 (MutS protein homolog 2)	Msh2	Mus musculus (Mouse)	935
MTCH1_MOUSE	Q791T5	MTCH1_MOUSE	Mitochondrial carrier homolog 1 (Mitochondrial carrier-like protein 1)	Mtch1	Mus musculus (Mouse)	389
MTPN_MOUSE	P62774	MTPN_MOUSE	Myotrophin (Granule cell differentiation protein) (Protein V-1)	Mtpn Gcdp	Mus musculus (Mouse)	118
NDUA8_MOUSE	Q9DCJ5	NDUA8_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	Ndufa8	Mus musculus (Mouse)	172
NDUBA_MOUSE	Q9DCS9	NDUBA_MOUSE	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Complex I-PDSW) (CI-PDSW) (NADH-ubiquinone oxidoreductase PDSW subunit)	Ndufb10	Mus musculus (Mouse)	176
NDUV2_MOUSE	Q9D6J6	NDUV2_MOUSE	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)	Ndufv2	Mus musculus (Mouse)	248
NECT2_MOUSE	P32507	NECT2_MOUSE	Nectin-2 (Herpes virus entry mediator B) (Herpesvirus entry mediator B) (HveB) (Murine herpes virus entry protein B) (mHveB) (Nectin cell adhesion molecule 2) (Poliovirus receptor homolog) (Poliovirus receptor-related protein 2) (CD antigen CD112)	Nectin2 Mph Pvr Pvrl2 Pvs	Mus musculus (Mouse)	530
NED4L_MOUSE	Q8CFI0	NED4L_MOUSE	E3 ubiquitin-protein ligase NEDD4-like (EC 2.3.2.26) (EC 2.3.2.36) (HECT-type E3 ubiquitin transferase NED4L) (NEDD4.2) (Nedd4-2)	Nedd4l Kiaa0439 Nedd4b	Mus musculus (Mouse)	1004
NFU1_MOUSE	Q9QZ23	NFU1_MOUSE	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (HIRA-interacting protein 5) (mHIRIP5)	Nfu1 Hirip5	Mus musculus (Mouse)	255
NMT1_MOUSE	O70310	NMT1_MOUSE	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1)	Nmt1	Mus musculus (Mouse)	496
NUCB2_MOUSE	P81117	NUCB2_MOUSE	Nucleobindin-2 (DNA-binding protein NEFA) (Prepronesfatin) [Cleaved into: Nesfatin-1]	Nucb2 Nefa	Mus musculus (Mouse)	420
PA24A_MOUSE	P47713	PA24A_MOUSE	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	Pla2g4a Cpla2 Pla2g4	Mus musculus (Mouse)	748
PALM_MOUSE	Q9Z0P4	PALM_MOUSE	Paralemmin-1 (Paralemmin)	Palm	Mus musculus (Mouse)	383
PCOC1_MOUSE	Q61398	PCOC1_MOUSE	Procollagen C-endopeptidase enhancer 1 (P14) (Procollagen COOH-terminal proteinase enhancer 1) (PCPE-1) (Procollagen C-proteinase enhancer 1) (Type 1 procollagen C-proteinase enhancer protein) (Type I procollagen COOH-terminal proteinase enhancer)	Pcolce Pcpe1	Mus musculus (Mouse)	468
PDCD5_MOUSE	P56812	PDCD5_MOUSE	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	Pdcd5 Tfar19	Mus musculus (Mouse)	126
PDCD6_MOUSE	P12815	PDCD6_MOUSE	Programmed cell death protein 6 (ALG-257) (Apoptosis-linked gene 2 protein) (ALG-2) (PMP41)	Pdcd6 Alg2	Mus musculus (Mouse)	191
PDLI7_MOUSE	Q3TJD7	PDLI7_MOUSE	PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma)	Pdlim7 Enigma	Mus musculus (Mouse)	457
PDXD1_MOUSE	Q99K01	PDXD1_MOUSE	Pyridoxal-dependent decarboxylase domain-containing protein 1 (EC 4.1.1.-)	Pdxdc1	Mus musculus (Mouse)	787
PERI_MOUSE	P15331	PERI_MOUSE	Peripherin	Prph Prph1	Mus musculus (Mouse)	475
PFD2_MOUSE	O70591	PFD2_MOUSE	Prefoldin subunit 2	Pfdn2 Pfd2	Mus musculus (Mouse)	154
PFD6_MOUSE	Q03958	PFD6_MOUSE	Prefoldin subunit 6 (Protein Ke2)	Pfdn6 H2-Ke2 Pfd6	Mus musculus (Mouse)	127
PININ_MOUSE	O35691	PININ_MOUSE	Pinin	Pnn	Mus musculus (Mouse)	725
